q1.0,q1.1,q2.0,q2.1,q3.0,q3.1,q4.0,q4.1,q5.0,q5.1,q6.0,q6.1
"I like it this way","I can live with it this way","I expect it this way","I am neutral","I like it this way","I can live with it this way","I like it this way","I am neutral","I am neutral","I am neutral","I am neutral","I am neutral"
"I like it this way","I can live with it this way","I like it this way","I can live with it this way","I like it this way","I can live with it this way","I like it this way","I can live with it this way","I like it this way","I can live with it this way","I like it this way","I can live with it this way"
"I like it this way","I dislike it this way","I expect it this way","I dislike it this way","I like it this way","I dislike it this way","I like it this way","I dislike it this way","I like it this way","I can live with it this way","I like it this way","I dislike it this way"
"I like it this way","I dislike it this way","I expect it this way","I dislike it this way","I like it this way","I dislike it this way","I like it this way","I dislike it this way","I am neutral","I can live with it this way","I like it this way","I can live with it this way"
"I can live with it this way","I can live with it this way","I expect it this way","I can live with it this way","I like it this way","I can live with it this way","I like it this way","I can live with it this way","I like it this way","I like it this way","I like it this way","I can live with it this way"
"I like it this way","I dislike it this way","I am neutral","I am neutral","I can live with it this way","I can live with it this way","I like it this way","I dislike it this way","I am neutral","I am neutral","I am neutral","I am neutral"
"I expect it this way","I dislike it this way","I am neutral","I am neutral","I like it this way","I dislike it this way","I expect it this way","I dislike it this way","I like it this way","I can live with it this way","I like it this way","I am neutral"
"I like it this way","I dislike it this way","I am neutral","I am neutral","I like it this way","I can live with it this way","I like it this way","I am neutral","I like it this way","I am neutral","I like it this way","I dislike it this way"
"I like it this way","I dislike it this way","I am neutral","I am neutral","I like it this way","I can live with it this way","I like it this way","I can live with it this way","I like it this way","I can live with it this way","I expect it this way","I dislike it this way"
"I like it this way","I expect it this way","I like it this way","I can live with it this way","I like it this way","I dislike it this way","I like it this way","I can live with it this way","I like it this way","I dislike it this way","I am neutral","I am neutral"
"I like it this way","I dislike it this way","I like it this way","I can live with it this way","I like it this way","I dislike it this way","I like it this way","I dislike it this way","I expect it this way","I can live with it this way","I like it this way","I dislike it this way"
"I like it this way","I am neutral","I expect it this way","I am neutral","I like it this way","I dislike it this way","I like it this way","I dislike it this way","I expect it this way","I dislike it this way","I am neutral","I am neutral"
"I expect it this way","I dislike it this way","I expect it this way","I dislike it this way","I like it this way","I can live with it this way","I like it this way","I can live with it this way","I expect it this way","I like it this way","I like it this way","I can live with it this way"
"I like it this way","I dislike it this way","I expect it this way","I dislike it this way","I like it this way","I dislike it this way","I like it this way","I dislike it this way","I expect it this way","I dislike it this way","I am neutral","I am neutral"
"I like it this way","I can live with it this way","I like it this way","I dislike it this way","I like it this way","I can live with it this way","I like it this way","I dislike it this way","I like it this way","I can live with it this way","I like it this way","I can live with it this way"
"I expect it this way","I dislike it this way","I am neutral","I can live with it this way","I am neutral","I can live with it this way","I expect it this way","I dislike it this way","I am neutral","I can live with it this way","I am neutral","I am neutral"
"I like it this way","I expect it this way","I am neutral","I expect it this way","I like it this way","I can live with it this way","I like it this way","I expect it this way","I expect it this way","I dislike it this way","I am neutral","I am neutral"
"I like it this way","I dislike it this way","I like it this way","I am neutral","I like it this way","I can live with it this way","I expect it this way","I dislike it this way","I expect it this way","I dislike it this way","I can live with it this way","I can live with it this way"
"I expect it this way","I dislike it this way","I expect it this way","I dislike it this way","I am neutral","I am neutral","I like it this way","I am neutral","I expect it this way","I can live with it this way","I can live with it this way","I can live with it this way"
"I like it this way","I can live with it this way","I like it this way","I dislike it this way","I like it this way","I dislike it this way","I like it this way","I can live with it this way","I like it this way","I can live with it this way","I am neutral","I am neutral"
"I like it this way","I expect it this way","I like it this way","I dislike it this way","I like it this way","I expect it this way","I like it this way","I expect it this way","I am neutral","I am neutral","I am neutral","I am neutral"
"I expect it this way","I dislike it this way","I am neutral","I am neutral","I like it this way","I can live with it this way","I expect it this way","I dislike it this way","I am neutral","I am neutral","I like it this way","I can live with it this way"
"I like it this way","I expect it this way","I like it this way","I am neutral","I like it this way","I dislike it this way","I like it this way","I dislike it this way","I like it this way","I can live with it this way","I like it this way","I can live with it this way"
